,Nº Registro,Medicamento,Laboratorio,Fecha Aut.,Estado,Fecha Estado,Cód. ATC,Principios Activos,Nº P. Activos,¿Comercializado?,¿Triangulo Amarillo?,Observaciones,¿Sustituible?,¿Afecta conducción?,¿Problemas de suministro?,nombre
0,06354005IP1,COMPETACT 15 MG/850 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Takeda Pharma A/S,19/05/2022,Autorizado,20/05/2022,A10BD05,"METFORMINA HIDROCLORURO, PIOGLITAZONA HIDROCLORURO",2,NO,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,COMPETACT
1,06356001,EXJADE 125 MG COMPRIMIDOS DISPERSABLES,Novartis Europharm Limited,09/10/2006,Anulado,08/02/2022,V03AC03,DEFERASIROX,1,NO,NO,Diagnóstico Hospitalario,,NO,NO,EXJADE
2,06361001,LUMINITY 150 MICROLITROS/ML GAS Y DISOLVENTE PARA SOLUCIÓN PARA DISPERSIÓN INYECTABLE Y PARA PERFUSIÓN,Lantheus Eu Limited,09/10/2006,Autorizado,23/08/2017,V08DA04,PERFLUTRENO,1,SI,NO,Uso Hospitalario,,NO,NO,LUMINITY
3,06363006,SPRYCEL 70 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Bristol-Myers Squibb Pharma Eeig,29/11/2006,Autorizado,29/11/2006,L01EA02,DASATINIB MONOHIDRATO,1,SI,NO,Diagnóstico Hospitalario,,SI,NO,SPRYCEL
4,06363015,SPRYCEL 140 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Bristol-Myers Squibb Pharma Eeig,23/08/2011,Autorizado,23/08/2011,L01EA02,DASATINIB MONOHIDRATO,1,NO,NO,Diagnóstico Hospitalario,,SI,NO,SPRYCEL
5,06364007IP,ADROVANCE 70 MG/5.600 UI COMPRIMIDOS,Organon N.V.,12/07/2024,Autorizado,13/07/2024,M05BB03,"COLECALCIFEROL, ALENDRONATO SODIO TRIHIDRATO",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,NO,NO,ADROVANCE
6,06366018,TANDEMACT 30 mg/2 mg COMPRIMIDOS,Cheplapharm Arzneimittel Gmbh,29/09/2009,Autorizado,29/09/2009,A10BD06,"PIOGLITAZONA, GLIMEPIRIDA",2,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TANDEMACT
7,06367002,DIACOMIT 250 mg CAPSULAS DURAS,Biocodex,12/11/2009,Autorizado,12/11/2009,N03AX17,ESTIRIPENTOL,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,DIACOMIT
8,06367008,DIACOMIT 250 mg POLVO PARA SUSPENSION ORAL,Biocodex,12/11/2009,Autorizado,12/11/2009,N03AX17,ESTIRIPENTOL,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,DIACOMIT
9,06380003,PREZISTA 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Janssen-Cilag International N.V,16/02/2009,Autorizado,16/02/2009,J05AE10,DARUNAVIR ETANOLATO,1,SI,NO,Diagnóstico Hospitalario,,NO,NO,PREZISTA
10,07386008,TOVIAZ 8 mg COMPRIMIDOS DE LIBERACION PROLONGADA,Pfizer Europe Ma Eeig,10/05/2007,Autorizado,10/05/2007,G04BD11,FESOTERODINA FUMARATO,1,SI,NO,Medicamento Sujeto A Prescripción Médica,,SI,NO,TOVIAZ
11,07389008,ORENCIA 125 mg SOLUCION INYECTABLE EN JERINGA PRECARGADA,Bristol-Myers Squibb Pharma Eeig,25/10/2012,Autorizado,25/10/2012,L04AA24,ABATACEPT,1,SI,NO,Diagnóstico Hospitalario,Biológicos,NO,NO,ORENCIA
